,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
85,Chris Wilcox,2003,Maryland,36,24.1,4.8,9.5,0.504,4.8,9.5,0.507,0,0.1,0,2.4,4.1,0.585,12,7.1,1.5,0.8,1.5,1.5,2.7,LAC,3.7,2.3,0.5,0.2,0.3,0.6,8,PF
86,Caron Butler,2003,UConn,34,36,7.4,15.3,0.486,6.6,13.1,0.5,0.9,2.2,0.4,4.6,5.9,0.779,20.3,7.5,3,2.1,0.4,2.9,2.2,MIA,15.4,5.1,2.7,1.8,0.4,2.5,10,SF
87,Jared Jeffries,2003,Indiana,36,32.6,5.3,11.5,0.457,4.5,9.5,0.472,0.8,2,0.38,3.7,5.6,0.667,15,7.6,2.1,1.5,1.3,2.8,2.4,WAS,4,2.9,0.8,0.4,0.3,1.1,11,SF
88,Melvin Ely,2003,Fresno State,28,35.7,8.8,15.6,0.563,8.8,15.6,0.564,0,0,0,5.8,7.8,0.735,23.3,9.1,1.8,0.7,3.1,2.6,2.4,LAC,4.5,3.3,0.3,0.2,0.6,1,12,C
89,Marcus Haislip,2003,Tennessee,25,33.6,6.4,12.4,0.518,5.8,10.6,0.551,0.6,1.8,0.326,3.2,4.4,0.721,16.7,6.7,1,0.4,1.8,2,3.4,MIL,4.1,1.4,0.2,0.2,0.5,0.5,13,PF
90,Fred Jones,2003,Oregon,35,31.5,6.1,11.8,0.521,4.7,7.9,0.594,1.5,3.9,0.372,4.8,5.5,0.871,18.6,5.4,3.2,1.8,0.5,2.3,2.7,IND,1.2,0.5,0.3,0.3,0.1,0.3,14,SG
91,Juan Dixon,2003,Maryland,36,33.6,7,14.9,0.469,4.4,8.4,0.525,2.6,6.4,0.397,3.9,4.4,0.898,20.4,4.6,2.9,2.6,0.2,2.5,2,WAS,6.4,1.7,1,0.6,0.1,1,17,PG
92,Curtis Borchardt,2004,Stanford,29,30.9,5.9,10.2,0.576,5.5,9.3,0.593,0.4,0.9,0.407,4.8,7.1,0.67,16.9,11.4,2,0.6,2.9,2,2.8,UTA,3.6,3.4,0.9,0.3,0.9,1.1,18,C
93,Ryan Humphrey,2003,Notre Dame,31,35.6,7.5,15.2,0.489,7.4,15,0.489,0.1,0.2,0.5,3.9,6.6,0.598,18.9,10.9,2.6,1.1,2.8,2.5,2.7,TOT,1.9,2.1,0.2,0.2,0.4,0.5,19,PF
94,Kareem Rush,2003,Missouri,36,31.9,6.9,16.3,0.426,3.8,8.6,0.444,3.1,7.6,0.405,2.9,3.7,0.769,19.8,5.2,2.5,1.1,0.6,2.9,2.1,LAL,3,1.2,0.9,0.1,0.1,0.8,20,PG
95,Casey Jacobsen,2003,Stanford,30,35.3,6.8,15.5,0.441,4.7,9.8,0.481,2.1,5.7,0.372,6.1,7.9,0.776,21.9,4.5,3.5,0.6,0.1,2.4,1.8,PHO,5.1,1.2,1,0.5,0.1,0.8,22,SF
96,Tayshaun Prince,2003,Kentucky,32,33.3,6.4,13.8,0.467,4.4,7.8,0.564,2,6,0.34,2.6,3.7,0.703,17.5,6.3,1.6,1.1,1.3,2,1.6,DET,3.3,1.1,0.6,0.2,0.3,0.5,23,SF
97,Frank Williams,2003,Illinois,35,32.4,5,12.7,0.393,3.4,8.1,0.423,1.5,4.5,0.34,4.7,5.8,0.808,16.2,4.7,4.4,2,0.3,2.7,2.1,NYK,1.3,0.9,1.6,0.3,0.1,0.8,25,PG
98,John Salmons,2003,Miami (FL),32,33.7,4.3,9.3,0.461,3.6,7.1,0.509,0.7,2.2,0.31,3.8,4.6,0.842,13.1,6,6.1,1.8,0.6,3.7,2.3,PHI,2.1,0.9,0.7,0.3,0.1,0.5,26,PG
99,Chris Jefferies,2003,Fresno State,21,34.6,5.5,13.1,0.418,3.5,7.3,0.474,2,5.8,0.347,4.4,6.9,0.634,17.3,6.3,3,1.2,1.2,2.4,2.8,TOR,3.9,1.2,0.4,0.4,0.3,0.9,27,SF
100,Dan Dickau,2003,Gonzaga,32,34.7,6.1,13.8,0.441,2.4,5.8,0.419,3.7,8,0.457,5.2,6,0.864,21,3,4.7,0.8,0.1,2.9,1.9,ATL,3.7,0.9,1.7,0.3,0,1.1,28,PG
102,Roger Mason,2003,Virginia,29,36.1,5.6,13.7,0.409,2.8,6,0.463,2.8,7.6,0.367,4.6,5.2,0.881,18.6,3.2,4.1,0.9,0.4,3,2.2,CHI,1.8,0.7,0.7,0.2,0,0.3,30,SF
103,Robert Archibald,2003,Illinois,34,22.6,3.4,5.1,0.659,3.4,5.1,0.663,0,0,0,3.9,6,0.654,10.6,5.5,1.3,0.7,1.1,2,3.6,MEM,1.6,1.4,0.3,0,0.3,0.6,31,PF
104,Vincent Yarbrough,2003,Tennessee,31,35.4,6.3,14.7,0.425,4.3,9.4,0.462,1.9,5.4,0.359,3.6,5.3,0.687,18.1,7.5,2.8,1.9,0.8,3,1.9,DEN,6.9,2.7,2.2,1,0.6,1.4,32,SG
105,Dan Gadzuric,2003,UCLA,33,26.2,5,9,0.554,5,8.9,0.556,0,0,0,1.8,3.7,0.472,11.7,7.7,0.7,0.5,1.3,1.6,2.7,MIL,3.4,4,0.2,0.4,1.1,0.6,33,C
106,Carlos Boozer,2003,Duke,35,28.4,6.6,9.9,0.665,6.6,9.9,0.667,0,0,0,5.1,6.7,0.754,18.2,8.7,1.1,0.9,0.6,1.9,3.1,CLE,10,7.5,1.3,0.7,0.6,1.3,34,PF
109,Lonny Baxter,2003,Maryland,35,28.7,5.5,10.1,0.545,5.5,10.1,0.547,0,0,0,4.2,6.7,0.623,15.2,8.2,0.8,0.9,2,2.2,2.9,CHI,4.8,3,0.3,0.2,0.4,0.8,43,C
111,Matt Barnes,2004,UCLA,31,30.7,4.9,10.4,0.471,3.5,7.1,0.495,1.4,3.3,0.417,2.4,3.8,0.619,13.5,6.2,3.5,1.1,0.3,2.8,2.4,LAC,4.5,4,1.3,0.7,0.1,1.2,45,SF
112,Jamal Sampson,2003,California,32,24.9,2.4,5.7,0.426,2.4,5.7,0.426,0,0,0,1.6,3,0.526,6.4,6.5,1.2,0.5,1.7,1.7,2.7,MIL,0,0.4,0.2,0.2,0,0,46,PF
113,Chris Owens,2003,Texas,11,27.2,5.6,11.3,0.5,5.4,10.4,0.518,0.3,0.9,0.3,4.3,6.8,0.627,15.8,7.4,0.8,0.7,1.9,1.7,2.5,MEM,4,1,0,0,0,1,47,SF
114,Darius Songaila,2004,Wake Forest,34,30.5,6,11.5,0.523,5.8,11,0.529,0.2,0.5,0.375,5.7,6.6,0.854,17.9,8.1,2.6,1.3,0.8,3.5,3.1,SAC,4.6,3.1,0.7,0.6,0.2,0.6,49,PF
116,Rasual Butler,2003,La Salle,32,39.1,7.3,16.8,0.434,5.5,11.8,0.464,1.8,4.9,0.361,4.6,5.4,0.855,20.9,8.8,1.4,1.3,1.3,2.6,1.7,MIA,7.5,2.6,1.3,0.3,0.6,1.1,52,SG
117,Tamar Slay,2003,Marshall,30,34.4,6.5,14.6,0.446,3.9,8.3,0.468,2.7,6.4,0.419,3.2,4.3,0.731,18.9,5.4,2.4,1.6,0.5,3,2.7,NJN,2.6,0.9,0.4,0.4,0.1,0.6,53,SG
118,Randy Holcomb,2006,San Diego State,33,32.3,6.7,12.9,0.516,6.3,11.7,0.539,0.4,1.2,0.3,3.2,5.1,0.635,16.9,9,1.7,0.7,1,3.5,2.5,CHI,0.5,0.3,0,0,0,0,56,SF
